id,name,type,country,city,latitude,longitude,average_price_usd,rating,rating_count,amenities,description,popularity_score,category,nearby_destinations,generated_at
gt_1,Baghdad Suites,hotel,Iraq,Baghdad,33.26818,44.337964,50.69,2.82,12145,Family Rooms,"Comfortable Baghdad Suites located in Baghdad, offering Family Rooms. Suitable for business and leisure travelers.",95,nature,,2025-10-31T17:59:12.127159Z
gt_10,Tokyo Monument,attraction,Japan,Tokyo,35.645903,139.643803,13.99,4.0,39758,"Airport Shuttle, Fitness Center, Bar, Breakfast Included",Tokyo Monument is a popular attraction in Tokyo. Visitors enjoy its scenic value and cultural importance.,100,cultural,"Honolulu Waterfront, Auckland Park",2025-10-31T17:59:12.127549Z
gt_100,Jerusalem Museum,attraction,Israel,Jerusalem,31.763999,35.224326,9.21,3.18,24462,"Fitness Center, Pet Friendly, Spa",Jerusalem Museum is a popular attraction in Jerusalem. Visitors enjoy its scenic value and cultural importance.,99,budget,"Budapest Museum, Paris Viewpoint, Nairobi Boutique",2025-10-31T17:59:12.130558Z
gt_1000,Delhi Downtown,destination,India,Delhi,28.662996,77.104517,2.53,4.71,940,"Airport Shuttle, Spa","Delhi Downtown area in Delhi, known for its local culture and points of interest.",67,budget,"Shanghai Old Town, Doha Downtown, Abu Dhabi Museum",2025-10-31T17:59:12.153818Z
gt_1001,Busan Viewpoint,attraction,South Korea,Busan,35.193748,129.100906,11.64,3.17,27509,Beach Access,Busan Viewpoint is a popular attraction in Busan. Visitors enjoy its scenic value and cultural importance.,100,nature,"New York Hotel, Rome Boutique",2025-10-31T17:59:12.153850Z
gt_1002,Montreal Suites,hotel,Canada,Montreal,45.474441,-73.535606,160.48,3.77,14524,Non-smoking,"Comfortable Montreal Suites located in Montreal, offering Non-smoking. Suitable for business and leisure travelers.",91,urban,"Guangzhou Hotel, Berlin Downtown",2025-10-31T17:59:12.153881Z
gt_1003,Madrid International Airport,airport,Spain,Madrid,40.436713,-3.7311,0.0,3.06,145,"Family Rooms, Pet Friendly, Free WiFi, Bar","Madrid Madrid International Airport, main air transport hub serving the region.",51,budget,"Montreal Downtown, Doha Downtown",2025-10-31T17:59:12.153913Z
gt_1004,Kuala Lumpur Beach Resort,resort,Malaysia,Kuala Lumpur,3.170094,101.645164,119.31,3.67,6762,"Spa, Family Rooms, Breakfast Included","Relaxing resort in Kuala Lumpur with Spa, Family Rooms, Breakfast Included. Ideal for holidays and retreats.",87,luxury,"Brisbane Hotel, Jerusalem Old Town, Zurich Beach",2025-10-31T17:59:12.153950Z
gt_1005,Paris Hotel,hotel,France,Paris,48.893736,2.317338,111.22,4.24,6617,"Non-smoking, Spa","Comfortable Paris Hotel located in Paris, offering Non-smoking, Spa. Suitable for business and leisure travelers.",83,nature,"Moscow Viewpoint, Cancun Suites, Stockholm Beach",2025-10-31T17:59:12.153985Z
gt_1006,Lima Transit Hub,railway_station,Peru,Lima,-12.064608,-77.070015,0.0,4.34,917,"Family Rooms, Fitness Center",Lima Transit Hub serving Lima with national and regional connections.,66,adventure,"Saint Petersburg Old Town, Reykjavik Inn",2025-10-31T17:59:12.154021Z
gt_1007,Lima Historic District,destination,Peru,Lima,-12.039943,-77.019881,2.33,3.1,1671,"Breakfast Included, Free WiFi, Beach Access, Pet Friendly","Lima Historic District area in Lima, known for its local culture and points of interest.",76,nature,"Mexico City Beach, Buenos Aires Park",2025-10-31T17:59:12.154054Z
gt_1008,Jakarta Suites,hotel,Indonesia,Jakarta,-6.21253,106.846351,90.14,3.3,10314,"Bar, Free WiFi, Family Rooms","Comfortable Jakarta Suites located in Jakarta, offering Bar, Free WiFi, Family Rooms. Suitable for business and leisure travelers.",88,beach,Sydney Museum,2025-10-31T17:59:12.154086Z
gt_1009,Sydney Viewpoint,attraction,Australia,Sydney,-33.878188,151.221398,12.89,3.62,19333,"Non-smoking, Beach Access, Free WiFi, Spa",Sydney Viewpoint is a popular attraction in Sydney. Visitors enjoy its scenic value and cultural importance.,95,cultural,,2025-10-31T17:59:12.154116Z
gt_101,Johannesburg Downtown,destination,South Africa,Johannesburg,-26.223332,28.087177,1.91,4.78,1514,"Family Rooms, Pet Friendly, Fitness Center","Johannesburg Downtown area in Johannesburg, known for its local culture and points of interest.",76,nature,"Kuala Lumpur Lodge, Chicago Suites, Brisbane Boutique",2025-10-31T17:59:12.130591Z
gt_1010,Cape Town Airport,airport,South Africa,Cape Town,-33.896407,18.46411,0.0,3.15,362,Pool,"Cape Town Cape Town Airport, main air transport hub serving the region.",63,family,Guangzhou Suites,2025-10-31T17:59:12.154147Z
gt_1011,Rome Lodge,hotel,Italy,Rome,41.896815,12.53546,111.57,4.23,5244,Pet Friendly,"Comfortable Rome Lodge located in Rome, offering Pet Friendly. Suitable for business and leisure travelers.",83,family,Accra Downtown,2025-10-31T17:59:12.154178Z
gt_1012,Paris Hotel,hotel,France,Paris,48.899675,2.37303,159.35,3.5,11547,"Spa, Parking","Comfortable Paris Hotel located in Paris, offering Spa, Parking. Suitable for business and leisure travelers.",97,family,,2025-10-31T17:59:12.154215Z
gt_1013,Kiev Inn,hotel,Ukraine,Kiev,50.420426,30.563126,75.99,4.56,6443,"Non-smoking, Family Rooms, Airport Shuttle","Comfortable Kiev Inn located in Kiev, offering Non-smoking, Family Rooms, Airport Shuttle. Suitable for business and leisure travelers.",86,luxury,,2025-10-31T17:59:12.154240Z
gt_1014,New York Inn,hotel,United States,New York,40.758341,-73.956951,158.26,4.57,8308,"Pool, Bar, Fitness Center","Comfortable New York Inn located in New York, offering Pool, Bar, Fitness Center. Suitable for business and leisure travelers.",89,family,,2025-10-31T17:59:12.154264Z
